#Bat,#P,25-Man,2B,3B,AB,Avg_Salary,BA,BB9,BB_x,BB_y,BF,BK,BatAge,Buried,CG,CS,Disabled List,ER,ERA,ERA+,FIP,GDP,GF,GS,G_x,G_y,H9,HBP_x,HBP_y,HR9,HR_x,HR_y,H_x,H_y,IBB_x,IBB_y,IP,LOB_x,LOB_y,OBP,OPS,OPS+,PA,PAge,R/G,RA/G,RBI,R_x,R_y,Rank,Retained,Roster,SB,SF,SH,SLG,SO/W,SO9,SO_x,SO_y,SV,Suspended,TB,Tm,Total Payroll,W,WHIP,WP,Year,cSho,tSho
42,21,45728532.0,273,37,5436,1213119.2631578948,0.244,3.1,571,504,6010,3,28.3,,15,62,,577,3.58,105,4.03,101,147,162,162,162,7.8,73,46,1.0,172,161,1324,1263,31,38,1449.0,1118,1049,0.322,0.7240000000000001,104,6152,27.8,4.36,3.79,674,707,614,,,38,155,35,37,0.402,2.27,7.1,1193,1143,32,,2187,TBR,46098532.0,91,1.219,45,2011,5,13
45,25,99272920.0,310,32,5659,2660044.128205128,0.28300000000000003,2.9,475,461,6021,6,29.1,,10,45,,607,3.79,117,3.98,135,152,162,162,162,8.3,39,46,1.1,210,170,1599,1327,35,21,1441.1,1126,1020,0.34,0.8,110,6261,28.8,5.28,4.18,807,855,677,,,39,143,49,39,0.46,2.56,7.4,930,1179,38,,2603,TEX,103741721.0,96,1.241,43,2011,7,19
53,30,56304461.0,285,34,5559,1933989.5789473685,0.249,3.3,525,540,6286,3,28.3,,7,52,,700,4.32,99,4.29,108,155,162,162,162,8.8,48,77,1.1,186,179,1384,1433,41,28,1458.2,1090,1149,0.317,0.73,96,6210,27.6,4.59,4.7,704,743,761,,,38,131,47,31,0.413,2.16,7.2,1184,1169,33,,2295,TOR,73491604.0,81,1.3530000000000002,73,2011,3,10
44,24,72988723.0,257,22,5441,1704289.1590909092,0.242,3.0,470,477,6141,6,28.4,,3,38,,577,3.58,107,3.83,103,158,161,161,161,8.7,65,52,0.8,154,129,1319,1403,40,43,1449.1,1114,1150,0.309,0.691,89,6090,27.6,3.88,3.99,594,624,643,,,44,106,32,82,0.383,2.2,6.5,1323,1049,49,,2082,WSN,74988723.0,80,1.297,49,2011,2,10
48,23,73439259.0,307,33,5462,2023395.243902439,0.259,2.6,539,417,6063,10,28.3,,4,51,,626,3.93,104,3.81,108,158,162,162,162,9.0,41,51,1.0,165,155,1416,1432,47,18,1433.2,1122,1074,0.328,0.746,99,6150,27.4,4.53,4.25,710,734,688,,,41,93,45,61,0.418,2.88,7.5,1266,1200,39,,2284,ARI,82959205.0,81,1.29,52,2012,2,9
41,21,86492616.0,263,30,5425,2646704.2162162163,0.247,2.9,567,464,5991,3,28.4,,5,32,,549,3.42,117,3.74,108,157,162,162,162,8.2,34,41,0.9,149,145,1341,1310,37,40,1445.1,1127,1055,0.32,0.7090000000000001,90,6126,27.6,4.32,3.7,660,700,600,,,37,101,46,53,0.389,2.66,7.7,1289,1232,47,,2111,ATL,97928056.0,94,1.227,54,2012,4,16
52,26,80099381.0,270,16,5560,2042094.3414634147,0.247,2.9,480,481,6278,6,28.0,,1,29,,642,3.9,109,4.2,152,161,162,162,162,8.7,50,53,1.1,214,184,1375,1433,24,36,1483.0,1027,1124,0.311,0.728,97,6160,27.6,4.4,4.35,677,712,705,,,41,58,30,38,0.417,2.45,7.1,1315,1177,55,,2319,BAL,83725868.0,93,1.291,34,2012,1,10
56,26,168455280.0,339,16,5604,3729341.510638298,0.26,3.3,428,529,6209,11,29.4,,6,31,,754,4.7,90,4.41,105,156,162,162,162,9.0,45,66,1.2,165,190,1459,1449,27,33,1443.0,1076,1074,0.315,0.73,96,6166,28.7,4.53,4.98,695,734,806,,,47,97,55,34,0.415,2.22,7.3,1197,1176,35,,2325,BOS,175279051.0,69,1.371,42,2012,2,4
53,30,83799366.0,265,36,5411,2326830.52,0.24,3.6,447,573,6140,5,27.8,,1,45,,708,4.51,91,4.46,125,161,162,162,162,8.9,43,65,1.1,137,175,1297,1399,29,36,1413.2,1044,1140,0.302,0.68,83,5967,27.9,3.78,4.69,570,613,759,,,50,94,24,42,0.378,1.97,7.2,1235,1128,28,,2045,CHC,116341526.0,61,1.395,44,2012,0,9
45,25,108250892.0,228,29,5518,2724305.075,0.255,3.1,461,503,6098,9,30.0,,6,43,,646,4.02,106,4.23,112,156,162,162,162,8.5,65,68,1.2,211,186,1409,1365,24,29,1445.2,1038,1085,0.318,0.74,98,6111,27.5,4.62,4.17,726,748,676,,,40,109,36,31,0.422,2.48,7.8,1203,1246,37,,2328,CHW,108972203.0,85,1.2919999999999998,66,2012,2,11
38,17,89101498.0,296,30,5477,2247537.45,0.251,2.6,481,427,6056,7,28.8,,9,27,,540,3.34,123,3.72,100,153,162,162,162,8.4,47,51,0.9,172,152,1377,1356,54,33,1453.0,1135,1109,0.315,0.726,93,6115,27.1,4.13,3.63,636,669,588,,,40,87,37,73,0.411,2.92,7.7,1266,1248,56,,2249,CIN,89901498.0,97,1.227,34,2012,2,12
48,24,71325549.0,266,24,5525,1516069.3725490198,0.251,3.4,555,543,6283,6,27.8,,2,44,,766,4.78,82,4.4,141,160,162,162,162,9.4,59,55,1.1,136,174,1385,1503,28,27,1442.0,1162,1112,0.324,0.705,99,6195,27.6,4.12,5.22,635,667,845,,,51,110,39,17,0.381,2.0,6.8,1087,1086,43,,2107,CLE,77319538.0,68,1.419,67,2012,1,6
49,27,77376456.0,306,52,5577,2051415.8372093025,0.274,3.6,450,566,6384,6,28.0,,0,40,,824,5.22,89,4.59,132,162,162,162,162,10.4,36,47,1.3,166,198,1526,1637,34,61,1422.0,1111,1228,0.33,0.7659999999999999,93,6183,28.2,4.68,5.49,716,758,890,,,43,100,39,74,0.436,2.02,7.2,1213,1144,36,,2434,COL,88210881.0,64,1.5490000000000002,94,2012,0,7
47,23,138762284.0,279,39,5476,3434816.2857142864,0.268,2.8,511,438,6045,6,27.9,,9,23,,596,3.75,113,3.63,156,153,162,162,162,8.9,57,42,0.9,163,151,1467,1409,46,35,1430.2,1121,1083,0.335,0.757,103,6119,28.2,4.48,4.14,698,726,670,,,42,59,39,36,0.422,3.01,8.3,1103,1318,40,,2313,DET,144262284.0,88,1.291,46,2012,3,8
50,26,23728500.0,238,28,5407,1268540.441860465,0.236,3.4,463,540,6238,6,26.6,,3,46,,721,4.56,89,4.27,114,159,162,162,162,9.4,58,48,1.1,146,173,1276,1493,19,40,1423.1,1090,1174,0.302,0.6729999999999999,82,6014,27.2,3.6,4.9,545,583,794,,,43,105,30,54,0.371,2.17,7.4,1365,1170,31,,2008,HOU,54547239.0,55,1.4280000000000002,75,2012,2,11
46,25,66385000.0,295,37,5636,1563205.2222222222,0.265,3.4,404,542,6251,8,26.1,,2,38,,693,4.3,98,4.18,130,160,162,162,162,9.3,42,60,1.0,131,163,1492,1504,35,44,1451.1,1087,1151,0.317,0.716,94,6149,27.3,4.17,4.6,643,676,746,,,45,132,41,26,0.4,2.17,7.3,1032,1177,44,,2254,KCR,70344235.0,72,1.41,49,2012,1,12
44,23,153844690.0,273,22,5536,4365795.138888889,0.274,3.0,449,483,6034,2,28.7,,6,33,,640,4.02,95,4.26,138,156,162,162,162,8.4,47,40,1.2,187,186,1518,1339,29,20,1433.1,1079,1035,0.332,0.764,114,6121,30.1,4.73,4.31,732,767,699,,,36,134,41,47,0.433,2.4,7.3,1113,1157,38,,2396,LAA,157168625.0,89,1.271,38,2012,5,16
